Epoch,Ep_Reward,Cost
0.0,22469.274565501244,-1912413.268664417
1.0,71228.38016548684,-5198701.651914726
2.0,70062.7599984078,-4726354.803484817
3.0,60934.11708841055,-4059845.162603384
4.0,76075.2431493487,-5508707.071767794
5.0,75276.3318688548,-5626890.175298427
6.0,72745.6262064351,-5316755.123362176
7.0,73083.05665105062,-5627396.378717519
8.0,70266.77860624812,-5323366.476855141
9.0,69322.09392960239,-5024479.294806215
10.0,73409.8605484863,-5471885.301853665
11.0,12901.451136353691,-241901.14946397016
12.0,49744.674818662155,-3184916.0291355066
13.0,11809.09524981064,-166626.5213765559
14.0,47142.00221705876,-2817514.9578472218
15.0,16738.055471620995,-857711.8497396545
16.0,42266.97051208913,-3097628.9213361936
17.0,54748.0588442651,-3718767.10374824
18.0,36869.67785929615,-2271330.1172392997
19.0,9077.055118233406,-211831.20818361978
20.0,44811.98722170148,-3082386.20592918
21.0,26513.359047750837,-2226208.3727481393
22.0,29835.883848309524,-2488004.181216552
23.0,45345.51348075447,-3221619.918099341
24.0,23414.352407850427,-1769742.7860689904
25.0,47207.78268050929,-3127020.5928854165
26.0,38744.978880931754,-2637661.446280691
27.0,38244.84726807843,-2374746.5038350937
28.0,41584.16655350407,-3150855.737641518
29.0,47299.83872760463,-2978141.4015313913
30.0,27994.26053586916,-2328881.3575094263
31.0,76623.58007238967,-7160282.226865791
32.0,78299.21954080013,-6988734.983631671
33.0,65788.72186140619,-7038518.395393383
34.0,80586.14709387156,-7557941.85013858
35.0,76222.622756511,-6715255.515019523
36.0,65962.22039103803,-5886738.702021741
37.0,77407.82174197842,-6786604.910778926
38.0,77270.3574143409,-6686929.3735286845
39.0,66988.3078989023,-6644108.597717125
40.0,70527.48125574074,-6090222.838424364
41.0,43940.74011911821,-3386543.467812394
42.0,46639.55312334771,-3480592.292236762
43.0,43726.40697644435,-3373899.9583501946
44.0,55313.11829953737,-3570132.791661224
45.0,40627.70385290363,-3499867.2343396065
46.0,54694.68773543382,-3291505.5673216986
47.0,52605.54187705562,-3162315.807887718
48.0,44653.346519649924,-3445445.3735469575
49.0,53206.978589380175,-3296784.7843166813
50.0,43949.656826825856,-3288442.353027029
51.0,-6161.309567749288,-55363.33458059786
52.0,-12071.279593155909,-104254.7576855624
53.0,-18380.82689493491,-20798.158632593815
54.0,-10560.280536167982,-123656.65653061713
55.0,-7244.538318515341,-28936.924851571395
56.0,-7823.42799645328,-25420.56284122361
57.0,-6956.360302068722,-238009.63403200873
58.0,-9979.903015977481,-167078.20562295645
59.0,-4994.248978714968,-52213.5342607701
60.0,-3512.4099745961134,-85185.27981661675
61.0,-4752.885307381613,-1423.4021862166906
62.0,-6193.165788913626,-6709.170290422161
63.0,-9188.155415970932,-4168.468942527532
64.0,-7138.647374151689,-2564.6833980195242
65.0,-5589.1931837726415,-1731.1759875889184
66.0,-4878.346532224305,-1344.3567036914665
67.0,-3223.936316650118,-6003.186598273801
68.0,-8337.071634186534,-3429.9758476701522
69.0,-5429.979713949524,-9019.466009406633
70.0,-3804.742372096762,-5072.353457385547
71.0,-1723.0023182470677,-29768.318918880686
72.0,-3614.3121946967594,-15538.514635627034
73.0,-2894.6068251303054,-13605.191578552554
74.0,-2329.7769056182747,-21041.731089133227
75.0,-3439.210137021134,-12314.507714863272
76.0,-867.2596365928425,-29825.301792006252
77.0,-2345.3976512675717,-22404.055397233038
78.0,-1872.1038185134248,-32183.287214861826
79.0,139.43889652507283,-60275.64231196316
80.0,-892.2474954064967,-34876.102186458265
81.0,1413.5087373659512,-113518.30393420838
82.0,3156.8899303960625,-143930.5629311677
83.0,-309.3724677288566,-119375.07049255668
84.0,3031.17244275336,-151861.7975302258
85.0,1227.5014012193596,-126909.87353937299
86.0,312.98797610993404,-86347.51484074644
87.0,1293.866726825333,-120257.2935183836
88.0,1378.28688843695,-103372.99962050404
89.0,1111.647478838909,-125796.29743768774
90.0,660.104062555293,-108309.16382843402
91.0,10280.72809168858,-359599.8289553881
92.0,9700.132991224316,-301542.3567276945
93.0,9945.212437932676,-322811.8206497568
94.0,14579.85632519571,-450570.98190399184
95.0,14559.467413135078,-450009.9820286007
96.0,10392.970913871557,-356375.2319175241
97.0,9233.500720724178,-305603.8589889186
98.0,10128.014978438709,-333065.4090414544
99.0,9499.02839565467,-287229.31700268603
100.0,9724.983811295742,-342144.49380294484
101.0,24829.475435469627,-1164586.0453862303
102.0,46128.66151795136,-3172770.038302084
103.0,43384.087936124146,-2875140.232329856
104.0,27088.430387504726,-1187679.8113028882
105.0,22398.58519903059,-1149291.8718763506
106.0,38970.93236433909,-1658929.5747991523
107.0,56134.77747628574,-2896454.3101676023
108.0,26836.81340906741,-1414089.0183835053
109.0,48754.41041688818,-3349374.7661754973
110.0,30952.26197230698,-1739367.0103469293
111.0,3045.6009156077234,-138243.64896819918
112.0,3583.051327339651,-116010.69047160634
113.0,2593.5622709684803,-109675.04145413838
114.0,-3201.7277160894782,-107808.70148414809
115.0,3795.604727021483,-125654.86416089229
116.0,5971.030323470702,-157247.7208296808
117.0,2501.209387457539,-94896.95553031677
118.0,2960.1540264693995,-122681.2040340841
119.0,3126.62522101937,-111392.04799687165
120.0,2319.293405248081,-92530.91328554404
121.0,57741.912028883366,-3451672.0046088076
122.0,48412.16082825677,-3320218.9186196732
123.0,47765.819324137316,-3359110.8738896684
124.0,64071.72473231059,-4712826.529754114
125.0,68337.5524003779,-5255161.653984092
126.0,59926.204334878144,-3620401.52348364
127.0,51959.55420818977,-3454431.0585279805
128.0,48337.25281740941,-3319242.8245626152
129.0,56973.69405774909,-3458592.8790247836
130.0,55024.69379259608,-3325944.417821389
131.0,73166.41198555716,-6778876.164530969
132.0,81139.88627460199,-6914444.379766098
133.0,69181.74285143768,-6376835.881446127
134.0,80061.7977993775,-6703936.319162155
135.0,79101.85159193537,-6511592.899961294
136.0,73372.49602316154,-6700065.349745749
137.0,80775.34124258517,-6744611.012462488
138.0,82009.86902215371,-6839157.737145285
139.0,71650.9381888579,-6703046.494930129
140.0,78963.9780462308,-6787417.028143097
141.0,61710.11400634584,-3887314.3260978227
